,GPA_HIGHSCHOOL,Prior_Hours,ReFirstMathCrs,ReFirstMathCrsGrade,UWFHour1stTerm,UWFGPA1stTerm,Drop1stYear
503,4.8,4,MAC2311/UP,A_range,15,3.86,Retained
504,4.42,12,MAC1147,C_range,14,2.964285714,Retained
505,3.44,0,MAC1105/C,B_range,12,3.175,Retained
506,4.07,3,MAC1105/C,A_range,15,3.64,Retained
507,2.79,19,NoAttempt,NoAttempt,14,2.292857143,Retained
508,3.62,15,MAC1147,A_range,15,3.613333333,Dropped
509,3.32,3,MAC1147,Failed,10,0.6,Dropped
510,4.04,18,MAC1105/C,B_range,14,3.157142857,Retained
511,4.32,21,MAC1147,A_range,12,4,Retained
512,4.04,25,MAC1147,Failed,14,3.057142857,Retained
513,3.83,0,MAC1147,A_range,14,3.564285714,Retained
514,3.99,21,MAC2311/UP,B_range,13,2.815384615,Retained
515,4.53,28,MAC2311/UP,A_range,11,3.345454545,Retained
516,3.77,0,MAC1147,C_range,15,2.06,Retained
517,3,0,MAC1105/C,B_range,14,3,Retained
518,4.17,15,MAC1105/C,A_range,13,3.230769231,Retained
519,3.91,6,NoAttempt,NoAttempt,14,3.071428571,Retained
520,2.5,8,MAC1147,C_range,12,1.916666667,Retained
521,3.04,18,MAC1147,Failed,7,1.171428571,Dropped
522,3.41,6,MAC1147,A_range,12,3.575,Dropped
523,4.6,9,MAC1147,B_range,12,3.108333333,Retained
524,4.18,12,MAC1147,Failed,14,1.921428571,Retained
525,4.7,51,NoAttempt,NoAttempt,12,2.575,Retained
526,3.02,0,MAC1147,A_range,13,3.930769231,Retained
527,4.45,15,NoAttempt,NoAttempt,14,3.871428571,Retained
528,4.21,33,MAC1147,B_range,15,3.066666667,Retained
529,3.52,15,MAC2311/UP,Failed,14,2.657142857,Dropped
530,3.36,0,NoAttempt,NoAttempt,13,2.307692308,Dropped
531,3.25,0,MAC1105/C,Failed,11,1.009090909,Dropped
532,5.02,32,MAC2311/UP,A_range,14,4,Retained
533,3.79,15,MAC1147,B_range,15,3.28,Retained
534,3.6,9,MAC1147,Withdrawn,4,3.275,Retained
535,4.47,28,MAC1147,B_range,12,2.908333333,Retained
536,3.11,5,MAC1147,C_range,12,0.816666667,Dropped
537,4.17,28,NoAttempt,NoAttempt,14,3.078571429,Retained
538,4.17,24,MAC1105/C,B_range,15,3.226666667,Retained
539,4.36,9,MAC1147,A_range,13,3.930769231,Retained
540,3.8,9,MAC1147,B_range,14,3.05,Retained
541,4.14,6,MAC1105/C,B_range,13,3.392307692,Retained
